SRR6359387,SRR6359386,pt10
SRR6359390,SRR6359389,pt1
SRR6359393,SRR6359392,pt2
SRR6359396,SRR6359395,pt3
SRR6359399,SRR6359398,pt4
SRR6359402,SRR6359401,pt5
SRR6359405,SRR6359404,pt6
SRR6359408,SRR6359407,pt7
SRR6359411,SRR6359410,pt8
SRR6359414,SRR6359413,pt9
SRR8072147,SRR8072146,pt10_2
SRR8072151,SRR8072150,pt1_2
SRR8072154,SRR8072153,pt2_2
SRR8072157,SRR8072156,pt3_2
SRR8072160,SRR8072159,pt4_2
SRR8072164,SRR8072163,pt5_2
SRR8072166,SRR8072165,pt6_2
SRR8072169,SRR8072168,pt7_2
SRR8072172,SRR8072171,pt8_2
SRR8072175,SRR8072174,pt9_2
